,Open,High,Low,Close,Adj Close,Volume,marketCycle
2024-06-27 09:30:00-04:00,185.5399932861328,186.6699981689453,185.4499969482422,186.64010620117188,186.64010620117188,780517.0,
2024-06-27 09:31:00-04:00,186.6699981689453,186.8699951171875,186.5500030517578,186.75,186.75,111710.0,
2024-06-27 09:32:00-04:00,186.7465057373047,186.75,186.2100067138672,186.25,186.25,91141.0,
2024-06-27 09:33:00-04:00,186.2100067138672,186.32000732421875,185.95689392089844,186.24000549316406,186.24000549316406,92371.0,
2024-06-27 09:34:00-04:00,186.27999877929688,186.6024932861328,186.22999572753906,186.375,186.375,86571.0,
2024-06-27 09:35:00-04:00,186.4199981689453,186.7375030517578,186.3800048828125,186.64999389648438,186.64999389648438,72322.0,
2024-06-27 09:36:00-04:00,186.6699981689453,186.77000427246094,186.5749969482422,186.72000122070312,186.72000122070312,72099.0,
2024-06-27 09:37:00-04:00,186.6999969482422,186.80999755859375,186.5500030517578,186.6699981689453,186.6699981689453,57835.0,
2024-06-27 09:38:00-04:00,186.69000244140625,187.125,186.6300048828125,187.08999633789062,187.08999633789062,126953.0,
2024-06-27 09:39:00-04:00,187.0832061767578,187.13999938964844,186.97000122070312,187.10000610351562,187.10000610351562,82322.0,
2024-06-27 09:40:00-04:00,187.10000610351562,187.1562042236328,186.99000549316406,187.05999755859375,187.05999755859375,62970.0,
2024-06-27 09:41:00-04:00,187.0561981201172,187.06239318847656,186.80999755859375,186.80999755859375,186.80999755859375,53871.0,
2024-06-27 09:42:00-04:00,186.80999755859375,186.99000549316406,186.77999877929688,186.83999633789062,186.83999633789062,57155.0,
2024-06-27 09:43:00-04:00,186.78829956054688,186.80499267578125,186.52000427246094,186.52999877929688,186.52999877929688,34527.0,
2024-06-27 09:44:00-04:00,186.50999450683594,186.8699951171875,186.5,186.8000030517578,186.8000030517578,60434.0,
2024-06-27 09:45:00-04:00,186.8000030517578,187.00999450683594,186.7899932861328,186.9990997314453,186.9990997314453,53789.0,55.20276664212612
2024-06-27 09:46:00-04:00,186.99000549316406,187.07749938964844,186.88999938964844,186.97999572753906,186.97999572753906,58483.0,62.908277881900645
2024-06-27 09:47:00-04:00,186.9499969482422,187.02000427246094,186.8000030517578,186.99949645996094,186.99949645996094,47677.0,68.54760416610436
2024-06-27 09:48:00-04:00,187.0,187.00999450683594,186.86000061035156,186.87530517578125,186.87530517578125,49170.0,62.449497953535584
2024-06-27 09:49:00-04:00,186.85000610351562,186.85000610351562,186.68499755859375,186.7100067138672,186.7100067138672,39814.0,49.74602494935196
2024-06-27 09:50:00-04:00,186.72000122070312,186.83999633789062,186.6699981689453,186.83999633789062,186.83999633789062,33147.0,52.207408012676794
2024-06-27 09:51:00-04:00,186.86000061035156,187.07000732421875,186.83999633789062,186.93020629882812,186.93020629882812,68984.0,56.957161904547675
2024-06-27 09:52:00-04:00,186.9409942626953,186.9600067138672,186.55999755859375,186.75999450683594,186.75999450683594,60118.0,46.233295157961614
2024-06-27 09:53:00-04:00,186.75,186.80999755859375,186.61000061035156,186.72999572753906,186.72999572753906,49668.0,42.88676252774026
2024-06-27 09:54:00-04:00,186.72999572753906,186.8699951171875,186.66000366210938,186.8679962158203,186.8679962158203,42487.0,54.72147870612855
2024-06-27 09:55:00-04:00,186.88999938964844,186.9405059814453,186.77999877929688,186.80999755859375,186.80999755859375,42599.0,52.472038365700634
2024-06-27 09:56:00-04:00,186.82000732421875,186.8699951171875,186.72000122070312,186.86000061035156,186.86000061035156,42311.0,56.68101844042603
2024-06-27 09:57:00-04:00,186.83999633789062,186.97999572753906,186.80409240722656,186.92999267578125,186.92999267578125,33173.0,63.972495854394445
2024-06-27 09:58:00-04:00,186.92999267578125,186.97999572753906,186.89999389648438,186.91709899902344,186.91709899902344,35683.0,68.96366069037234
2024-06-27 09:59:00-04:00,186.90499877929688,187.16000366210938,186.8800048828125,187.14999389648438,187.14999389648438,53781.0,79.56611215748205
2024-06-27 10:00:00-04:00,187.13999938964844,187.2899932861328,187.10569763183594,187.2100067138672,187.2100067138672,66671.0,85.29445584765666
2024-06-27 10:01:00-04:00,187.19000244140625,187.44000244140625,187.19000244140625,187.3350067138672,187.3350067138672,75418.0,90.75608135955771
2024-06-27 10:02:00-04:00,187.30999755859375,187.44500732421875,187.24000549316406,187.4199981689453,187.4199981689453,50722.0,92.43032844146316
2024-06-27 10:03:00-04:00,187.42999267578125,187.42999267578125,187.0,187.02000427246094,187.02000427246094,53270.0,70.06610140796461
2024-06-27 10:04:00-04:00,187.0449981689453,187.11000061035156,186.97000122070312,187.06500244140625,187.06500244140625,42392.0,62.80378408611392
2024-06-27 10:05:00-04:00,187.10000610351562,187.1199951171875,186.90199279785156,186.9600067138672,186.9600067138672,43769.0,47.613720301237755
2024-06-27 10:06:00-04:00,186.9600067138672,187.0800018310547,186.94000244140625,187.00950622558594,187.00950622558594,35673.0,44.624520066031224
2024-06-27 10:07:00-04:00,186.99000549316406,187.00950622558594,186.89999389648438,186.91000366210938,186.91000366210938,41129.0,29.45044102836846
2024-06-27 10:08:00-04:00,186.9149932861328,186.9149932861328,186.82000732421875,186.86000061035156,186.86000061035156,32675.0,22.936402326799758
2024-06-27 10:09:00-04:00,186.88999938964844,186.89999389648438,186.72999572753906,186.74000549316406,186.74000549316406,37937.0,15.11114365066013
